,hash_id,Vlak,Vecerka,Obchod,Bus,Skola,Skolka,Lekar,Hospoda,Restaurace,Metro,Tram,date_update,building_type,building_condition,building_location,area_net,price_note,energy_efficient_rating,building_floor_type,building_floor,garage,swimming_pool,area_landplot,cellar,house_location,price,lat,lon,locality,region,lat_cen,lon_cen,city_dist
1,3981059148,3213.0,719.0,1989.0,60.0,714.0,411.0,2121.0,1667.0,305.0,2071.0,1424.0,Dnes,Smíšená,Novostavba,,161.0,včetně DPH,B,Patrový,,,,318.0,,Řadový,14595304,50.147034,14.473924,"U spojů, Praha 8 - Ďáblice",10,50.0875,14.4213889,7.606151604712511
2,2171561036,1441.0,989.0,2088.0,90.0,756.0,1041.0,1208.0,2146.0,127.0,1209.0,1154.0,Dnes,Smíšená,Projekt,,226.0,"včetně DPH, včetně provize, včetně právního servisu",B,Patrový,,,,856.0,,Samostatný,54980000,50.107578,14.352712,"V Trníčku, Praha 6 - Dejvice",10,50.0875,14.4213889,5.383456143053492
4,1286899020,464.0,104.0,2550.0,54.0,279.0,476.0,3115.0,293.0,145.0,2580.0,2770.0,Dnes,Cihlová,Novostavba,,208.0,vč. právního servisu,B,Patrový,3,1,,354.0,,,23400000,50.138809,14.546665,Praha 9 - Kbely,10,50.0875,14.4213889,10.599461372810216
5,1704076364,2161.0,263.0,1956.0,158.0,293.0,314.0,490.0,520.0,163.0,355.0,146.0,Dnes,Cihlová,Po rekonstrukci,Klidná část obce,203.0,Cena je včetně provize RK a kompletního právního servisu.,G,Patrový,5 včetně 1 podzemního,,,128.0,,Řadový,16990000,50.127625,14.454474,"Přemyšlenská, Praha 8 - Kobylisy",10,50.0875,14.4213889,5.047153103254849
6,212989260,1155.0,1340.0,1159.0,156.0,1475.0,882.0,2028.0,1692.0,373.0,4386.0,3146.0,Dnes,Cihlová,Velmi dobrý,,109.0,včetně provize,,Patrový,,,,500.0,,,12950000,50.050537,14.581465,"K Průmstavu, Praha 10 - Dubeč",10,50.0875,14.4213889,12.141769667072495
8,3075208524,4813.0,565.0,924.0,551.0,759.0,317.0,2069.0,563.0,575.0,4129.0,1928.0,Dnes,Cihlová,Velmi dobrý,Klidná část obce,177.0,uvedená cena je vč. garážového stání a provize RK,B,Patrový,2,1,,289.0,,Řadový,18500000,49.995075,14.47234,"Ke kašně, Praha 4 - Písnice",10,50.0875,14.4213889,10.902291436049323
9,2122360140,1539.0,270.0,0.0,319.0,774.0,411.0,1871.0,301.0,489.0,0.0,0.0,Dnes,Cihlová,Novostavba,,157.0,,B,Patrový,,,,439.0,,Samostatný,15450000,50.07568,14.659288,Praha 9 - Újezd nad Lesy,10,50.0875,14.4213889,17.02569700956544
10,2273699148,1415.0,560.0,4693.0,318.0,870.0,319.0,767.0,434.0,310.0,0.0,3988.0,Dnes,Cihlová,Velmi dobrý,,232.0,,G,Patrový,,1,,932.0,,Samostatný,19500000,49.975197,14.393192,Praha 5 - Zbraslav,10,50.0875,14.4213889,12.648899040856321
11,377333068,1019.0,564.0,1416.0,503.0,784.0,638.0,1573.0,602.0,390.0,2974.0,1127.0,Dnes,Cihlová,Novostavba,,207.0,,G,Patrový,,1,,361.0,,Řadový,43000000,50.052277,14.55332,"U Golfu, Praha 10 - Dolní Měcholupy",10,50.0875,14.4213889,10.198106124909813
12,3337598284,451.0,562.0,1509.0,250.0,745.0,490.0,987.0,1248.0,876.0,560.0,1219.0,Dnes,Smíšená,Ve výstavbě,,194.0,"Cena včetně DPH, parkovacího stání a sklepu., včetně DPH, včetně provize, včetně právního servisu",B,Patrový,,,,205.0,,Řadový,26095000,50.06168,14.368812,"Na pomezí, Praha 5",10,50.0875,14.4213889,4.7245202015253485
14,233366860,1892.0,897.0,2425.0,180.0,357.0,769.0,1878.0,1760.0,411.0,1794.0,1816.0,Dnes,Smíšená,Velmi dobrý,Klidná část obce,275.0,,G,Patrový,2,1,,653.0,,Řadový,29900000,50.112293,14.338381,"Malý dvůr, Praha 6 - Nebušice",10,50.0875,14.4213889,6.53101089269647
15,2545542476,1376.0,378.0,1606.0,114.0,154.0,235.0,860.0,882.0,120.0,1124.0,273.0,Dnes,Cihlová,Dobrý,Klidná část obce,88.0,Cena vč.provize RK,G,Přízemní,,,,125.0,,V bloku,9450000,50.101997,14.418766,"Havanská, Praha 7 - Bubeneč",10,50.0875,14.4213889,1.622814795098043
16,102446412,539.0,144.0,1107.0,197.0,214.0,25.0,2710.0,1856.0,242.0,1820.0,786.0,Dnes,Cihlová,Velmi dobrý,Klidná část obce,175.0,,B,Patrový,3 včetně 1 podzemního,1,,440.0,,Řadový,25000000,50.08173,14.317346,"Jinočanská, Praha 6 - Ruzyně",10,50.0875,14.4213889,7.451015185457477
17,2819306828,2002.0,1266.0,2277.0,348.0,258.0,1172.0,1954.0,2149.0,809.0,1889.0,1909.0,Dnes,Cihlová,Dobrý,,206.0,,G,Patrový,,1,,770.0,1,,30900000,50.111301,14.331513,Praha 6 - Nebušice,10,50.0875,14.4213889,6.935383773769887
18,3206200156,737.0,951.0,710.0,281.0,806.0,623.0,1077.0,1191.0,902.0,1859.0,495.0,Dnes,Cihlová,Velmi dobrý,Klidná část obce,192.0,cena vč. právních služeb a provize RK,G,Patrový,3,1,,492.0,1,Rohový,17200000,50.060886,14.464054,"Tachlovická, Praha 10 - Vršovice",10,50.0875,14.4213889,4.245975996546775
20,264496460,754.0,482.0,2208.0,271.0,336.0,869.0,2714.0,661.0,482.0,2419.0,2411.0,Dnes,Cihlová,Před rekonstrukcí,Centrum obce,190.0,"Včetně provize RK, právního a hypotečního servisu",G,Patrový,2,2,,1135.0,15,Samostatný,17000000,50.128235,14.553464,"Valdická, Praha 9 - Kbely",10,50.0875,14.4213889,10.451363221785456
22,3648808012,1104.0,319.0,687.0,134.0,238.0,960.0,989.0,1038.0,558.0,1925.0,702.0,Dnes,Cihlová,Dobrý,Klidná část obce,210.0,k jednání,D,Patrový,2 včetně 1 podzemního,,1.0,292.0,1,V bloku,18000000,50.093563,14.509426,"Hrdlořezská, Praha 9 - Hrdlořezy",10,50.0875,14.4213889,6.316650257517501
23,2158265676,792.0,530.0,871.0,191.0,299.0,306.0,181.0,815.0,347.0,715.0,548.0,Dnes,Cihlová,Ve výstavbě,,108.0,"včetně právního servisu, včetně DPH, včetně provize",B,Patrový,,,,294.0,,Samostatný,8379000,50.102654,14.552089,Praha 9 - Praha 14,10,50.0875,14.4213889,9.474315361272767
30,2301174860,433.0,80.0,1343.0,95.0,536.0,308.0,1198.0,279.0,194.0,1426.0,1431.0,Dnes,Cihlová,Novostavba,,190.0,,B,Patrový,,1,,398.0,1,,20000000,50.093666,14.542703,Praha 9 - Kyje,10,50.0875,14.4213889,8.681658425996062
31,417895500,916.0,339.0,718.0,683.0,448.0,402.0,1080.0,1770.0,345.0,518.0,404.0,Dnes,Cihlová,Novostavba,,107.0,,B,Patrový,,,,191.0,,,14495000,50.106956,14.510207,Praha 9,10,50.0875,14.4213889,6.694597897025266
33,1012438092,916.0,339.0,718.0,683.0,448.0,402.0,1080.0,1770.0,345.0,518.0,404.0,Dnes,Cihlová,Novostavba,,107.0,,B,Patrový,,,,745.0,,,17350000,50.106956,14.510207,Praha 9,10,50.0875,14.4213889,6.694597897025266
35,2243925068,916.0,339.0,718.0,683.0,448.0,402.0,1080.0,1770.0,345.0,518.0,404.0,Dnes,Cihlová,Novostavba,,152.0,,B,Patrový,,1,,387.0,,,18295000,50.106956,14.510207,Praha 9,10,50.0875,14.4213889,6.694597897025266
36,2410517580,916.0,339.0,718.0,683.0,448.0,402.0,1080.0,1770.0,345.0,518.0,404.0,Dnes,Cihlová,Novostavba,,152.0,,B,Patrový,,1,,232.0,,,16495000,50.106956,14.510207,Praha 9,10,50.0875,14.4213889,6.694597897025266
37,2418615372,433.0,80.0,1343.0,95.0,536.0,308.0,1198.0,279.0,194.0,1426.0,1431.0,Dnes,Cihlová,Novostavba,,137.0,,B,Patrový,,1,,376.0,1,,19000000,50.093666,14.542703,Praha 9 - Kyje,10,50.0875,14.4213889,8.681658425996062
38,2451674188,916.0,339.0,718.0,683.0,448.0,402.0,1080.0,1770.0,345.0,518.0,404.0,Dnes,Cihlová,Novostavba,,152.0,,B,Patrový,,1,,262.0,,,17740000,50.106956,14.510207,Praha 9,10,50.0875,14.4213889,6.694597897025266
39,3619988556,916.0,339.0,718.0,683.0,448.0,402.0,1080.0,1770.0,345.0,518.0,404.0,Dnes,Cihlová,Novostavba,,107.0,,B,Patrový,2,,,248.0,,,14830000,50.106956,14.510207,Praha 9,10,50.0875,14.4213889,6.694597897025266
44,883680588,2165.0,1367.0,0.0,299.0,1441.0,1535.0,1902.0,2254.0,790.0,0.0,0.0,Dnes,Cihlová,Velmi dobrý,Klidná část obce,700.0,"včetně poplatků, včetně provize, včetně právního servisu",D,Patrový,,2,1.0,894.0,,Samostatný,32800000,50.1064,14.65893,"Úprkova, Praha 9 - Klánovice",10,50.0875,14.4213889,17.07374866210451
45,2961405004,1627.0,289.0,2484.0,38.0,337.0,331.0,3065.0,1242.0,318.0,3386.0,704.0,Dnes,Cihlová,Velmi dobrý,Klidná část obce,330.0,"včetně poplatků, včetně provize, včetně právního servisu",E,Patrový,3,1,1.0,1034.0,,Samostatný,29800000,50.020241,14.36013,"Granátová, Praha 5 - Slivenec",10,50.0875,14.4213889,8.663792993570773
46,4113364300,2885.0,172.0,1949.0,110.0,1587.0,474.0,3715.0,3029.0,184.0,3971.0,3277.0,Dnes,Cihlová,Velmi dobrý,,242.0,včetně právního servisu a provize RK,B,Patrový,2,2,,676.0,,Samostatný,24800000,50.162075,14.484477,"Vlaštovčí, Praha 8 - Březiněves",10,50.0875,14.4213889,9.433486028737077
47,295576652,1190.0,620.0,2830.0,106.0,488.0,506.0,1129.0,612.0,710.0,3411.0,0.0,Dnes,Cihlová,Dobrý,Klidná část obce,196.0,včetně provize RK a právního servisu,G,Patrový,2,1,,548.0,,Samostatný,9999000,50.11504,14.621432,Praha 9 - Horní Počernice,10,50.0875,14.4213889,14.592810811449816
48,2715358284,758.0,291.0,433.0,148.0,384.0,781.0,2415.0,881.0,307.0,938.0,2884.0,Dnes,Cihlová,Novostavba,,209.0,,A,Patrový,2,1,,393.0,,,22580000,50.037739,14.316081,"Jáchymovská, Praha - Řeporyje",10,50.0875,14.4213889,9.333911871198389
49,150390092,1441.0,989.0,2088.0,90.0,756.0,1041.0,1208.0,2146.0,127.0,1209.0,1154.0,Dnes,Smíšená,Projekt,,175.0,"včetně DPH, včetně provize, včetně právního servisu",B,Patrový,,,,386.0,,V bloku,34649000,50.107578,14.352712,"V Trníčku, Praha 6 - Dejvice",10,50.0875,14.4213889,5.383456143053492
51,3944535372,2239.0,335.0,588.0,186.0,296.0,231.0,941.0,119.0,255.0,311.0,246.0,Dnes,Cihlová,Velmi dobrý,,100.0,cena je vč. odměny RK,G,Patrový,2,,,132.0,1,Řadový,15390000,50.125793,14.474331,"Pod vlastním krovem, Praha 8 - Libeň",10,50.0875,14.4213889,5.690849623949883
54,787444812,1816.0,413.0,1761.0,383.0,374.0,180.0,716.0,186.0,331.0,556.0,67.0,Dnes,Cihlová,Velmi dobrý,Klidná část obce,200.0,,C,Patrový,3,,,143.0,,Řadový,18990000,50.120346,14.460177,"Pod hliništěm, Praha 8 - Kobylisy",10,50.0875,14.4213889,4.5817209441853315
55,1672168524,700.0,132.0,2596.0,158.0,385.0,289.0,2955.0,138.0,132.0,0.0,5087.0,Dnes,Cihlová,Velmi dobrý,Centrum obce,133.0,vč provize a právních služeb,C,Patrový,2,1,,476.0,,Samostatný,13900000,50.029697,14.598683,"Semanského, Praha 10 - Uhříněves",10,50.0875,14.4213889,14.195094580680793
56,940021068,120.0,131.0,1080.0,123.0,186.0,454.0,865.0,267.0,137.0,188.0,897.0,Dnes,Cihlová,Velmi dobrý,Klidná část obce,365.0,vč provize a právních služeb,B,Přízemní,1,,,623.0,,Samostatný,59950000,50.10862,14.560276,"Rotenská, Praha 9 - Kyje",10,50.0875,14.4213889,10.181204752398557
58,4110341452,1531.0,1076.0,1408.0,78.0,761.0,1115.0,1282.0,2227.0,84.0,1253.0,1210.0,Dnes,Smíšená,Před rekonstrukcí,,330.0,,G,Přízemní,,1,,1030.0,,Samostatný,25900000,50.104439,14.376745,Praha 6 - Dejvice,10,50.0875,14.4213889,3.699859301862762
61,3979715916,4540.0,356.0,1123.0,222.0,379.0,119.0,90.0,335.0,281.0,1321.0,4032.0,Včera,Cihlová,Velmi dobrý,Klidná část obce,1098.0,včetně provize RK a právního servisu,G,Patrový,3 včetně 1 podzemního,,1.0,1627.0,,Samostatný,43000000,50.0158,14.511171,"K Hrnčířům, Praha 4 - Šeberov",10,50.0875,14.4213889,10.230097158856932
62,2388866124,924.0,262.0,1547.0,368.0,803.0,290.0,1956.0,1315.0,272.0,2504.0,2082.0,Včera,Cihlová,Velmi dobrý,Klidná část obce,488.0,včetně všech poplatků RK,G,Patrový,2,1,,673.0,,Samostatný,21990000,50.084198,14.557976,"Kamencová, Praha 9 - Hostavice",10,50.0875,14.4213889,9.751994402149915
63,4032546124,1675.0,528.0,1559.0,343.0,487.0,56.0,528.0,780.0,120.0,1107.0,76.0,Včera,Smíšená,Před rekonstrukcí,Centrum obce,174.0,"vč. realitního, právního a hypotéčního servisu",G,Patrový,4,,,256.0,,Řadový,23500000,50.082619,14.35957,"8. listopadu, Praha - Břevnov",10,50.0875,14.4213889,4.443933653688405
64,2272122188,929.0,369.0,784.0,72.0,477.0,311.0,2439.0,1621.0,324.0,1742.0,880.0,Včera,Smíšená,Před rekonstrukcí,,132.0,,G,Patrový,,,,320.0,,Řadový,16790000,50.115204,14.382952,"Vidlicová, Praha 6 - Dejvice",10,50.0875,14.4213889,4.123762147933144
65,3513840972,3170.0,2220.0,4088.0,225.0,1353.0,1353.0,5077.0,3053.0,391.0,0.0,0.0,Včera,Cihlová,Velmi dobrý,Centrum obce,150.0,,C,Patrový,2,,,349.0,,Řadový,14500000,50.053062,14.624174,"Do Podkovy, Praha 10 - Hájek u Uhříněvsi",10,50.0875,14.4213889,14.97083262520412
66,1886074188,1778.0,329.0,5771.0,440.0,606.0,598.0,2138.0,1026.0,337.0,0.0,0.0,Včera,Cihlová,Velmi dobrý,,149.0,,D,Patrový,2,1,,410.0,,Samostatný,13990000,50.07465,14.64798,"Dražická, Praha 9 - Újezd nad Lesy",10,50.0875,14.4213889,16.23121584401212
67,1928709452,3165.0,603.0,2275.0,121.0,2014.0,106.0,4147.0,2830.0,130.0,4402.0,3699.0,Včera,Cihlová,Dobrý,Klidná část obce,243.0,Včetně kompletních realitních a právních služeb,G,Patrový,2,,,430.0,,Rohový,13500000,50.162945,14.483497,"Na hlavní, Praha 8 - Březiněves",10,50.0875,14.4213889,9.485806381415403
69,1433429068,1432.0,316.0,1205.0,74.0,723.0,210.0,1605.0,1403.0,182.0,1046.0,605.0,Včera,Smíšená,Před rekonstrukcí,Klidná část obce,96.0,,G,Patrový,3 včetně 1 podzemního,1,,296.0,3,Samostatný,12900000,50.08754,14.32988,"V domcích, Praha 6 - Liboc",10,50.0875,14.4213889,6.528660009549648
70,2357368396,2136.0,1145.0,1029.0,129.0,1174.0,1174.0,2478.0,374.0,1461.0,0.0,0.0,Včera,Cihlová,Novostavba,Klidná část obce,110.0,"neplatíte provizi, nabídka developera",B,Patrový,,,,610.0,,Samostatný,14854999,50.015694,14.656592,"Výtoňská, Praha 10 - Nedvězí u Říčan",10,50.0875,14.4213889,18.594541748198914
71,2839073868,4251.0,834.0,1583.0,394.0,903.0,540.0,1126.0,518.0,294.0,1930.0,3024.0,Včera,Smíšená,Velmi dobrý,Klidná část obce,350.0,,G,Patrový,2,1,,6776.0,,Samostatný,35000000,50.011265,14.49791,"Nad Šeberákem, Praha - Kunratice",10,50.0875,14.4213889,10.085169326801626
73,3564090700,1277.0,433.0,966.0,272.0,694.0,54.0,1444.0,834.0,308.0,797.0,456.0,Včera,Cihlová,Dobrý,,245.0,,G,Patrový,,1,,378.0,,,18990000,50.091362,14.321708,Praha 6 - Liboc,10,50.0875,14.4213889,7.124356550782255
74,250533196,2744.0,1416.0,0.0,295.0,686.0,686.0,3213.0,1923.0,296.0,0.0,0.0,Včera,Smíšená,Novostavba,,140.0,,B,Přízemní,,,,360.0,,Řadový,15963000,50.062057,14.638175,Praha 9 - Koloděje,10,50.0875,14.4213889,15.727162846553453
76,262788428,1108.0,292.0,824.0,214.0,404.0,351.0,1988.0,508.0,292.0,1651.0,2424.0,Včera,Cihlová,Před rekonstrukcí,Klidná část obce,200.0,Cena včetně provize realitní kanceláře a právních služeb.,G,Patrový,2 včetně 1 podzemního,1,,614.0,1,V bloku,14999000,50.140278,14.511674,"Velešínská, Praha 9 - Letňany",10,50.0875,14.4213889,8.711273698475564
80,2421200460,3494.0,790.0,2581.0,397.0,2124.0,249.0,4278.0,2668.0,416.0,4480.0,3769.0,Včera,Cihlová,Ve výstavbě,Okraj obce,141.0,,B,Patrový,2,,,366.0,,V bloku,13871200,50.166767,14.477639,"Na poli, Praha 8 - Březiněves",10,50.0875,14.4213889,9.683325013495844
81,2433619020,2692.0,489.0,2448.0,213.0,861.0,740.0,2762.0,1306.0,281.0,2649.0,2099.0,Včera,Cihlová,Novostavba,Klidná část obce,122.0,,B,Patrový,2,1,,231.0,,Řadový,14862064,50.111195,14.317559,"Edvardova, Praha 6 - Nebušice",10,50.0875,14.4213889,7.860586936627232
82,2564539724,2128.0,259.0,541.0,62.0,221.0,201.0,1066.0,957.0,287.0,1627.0,1127.0,Včera,Cihlová,Velmi dobrý,,139.0,,G,Patrový,2 včetně 1 podzemního,1,,337.0,1,Řadový,16490000,50.128799,14.430197,"Gdaňská, Praha 8 - Bohnice",10,50.0875,14.4213889,4.634999492560394
83,3367097676,3375.0,288.0,682.0,420.0,475.0,766.0,721.0,402.0,340.0,424.0,3099.0,Včera,Cihlová,Velmi dobrý,Klidná část obce,155.0,,D,Patrový,,1,,306.0,6,Řadový,15250000,50.025772,14.502305,"Malebná, Praha 4 - Chodov",10,50.0875,14.4213889,8.971167829351097
84,1931527500,1231.0,1021.0,1416.0,122.0,1225.0,503.0,2269.0,1339.0,94.0,4509.0,2960.0,Včera,Cihlová,Velmi dobrý,Klidná část obce,160.0,,G,Patrový,2,,,481.0,1,Samostatný,11990000,50.055031,14.57897,"Za pekárnou, Praha 10 - Dubeč",10,50.0875,14.4213889,11.811666773196114
85,231806028,1966.0,124.0,0.0,102.0,1544.0,139.0,2114.0,1182.0,243.0,0.0,0.0,Včera,Cihlová,Velmi dobrý,Klidná část obce,250.0,Cena včetně provize RK a kompletního právního servisu,G,Patrový,3 včetně 1 podzemního,1,,679.0,,Samostatný,18990000,50.073452,14.680902,"Velimská, Praha 9 - Újezd nad Lesy",10,50.0875,14.4213889,18.58331804331443
86,2820650316,451.0,562.0,1509.0,250.0,745.0,490.0,987.0,1248.0,876.0,560.0,1219.0,Včera,Smíšená,Ve výstavbě,,194.0,"Cena včetně DPH, parkovacího stání a sklepu., včetně DPH, včetně provize, včetně právního servisu",B,Patrový,,,,201.0,,Řadový,25749000,50.061695,14.36879,"Na pomezí, Praha 5",10,50.0875,14.4213889,4.724753554277744
88,1268811084,1695.0,456.0,0.0,407.0,963.0,212.0,2014.0,381.0,369.0,0.0,0.0,Včera,Cihlová,Dobrý,Klidná část obce,144.0,Cena včetně právních a realitních služeb,D,Patrový,2,1,,612.0,,Samostatný,12900000,50.071884,14.663443,"Chotouchovská, Praha 9 - Újezd nad Lesy",10,50.0875,14.4213889,17.359111865538054
89,2042090828,1116.0,313.0,850.0,255.0,591.0,243.0,4101.0,986.0,180.0,3297.0,4455.0,Včera,Cihlová,Velmi dobrý,Klidná část obce,292.0,včetně právního servisu a provize RK.,E,Patrový,3,1,,602.0,1,Samostatný,21500000,50.152996,14.53371,"Na barikádách, Praha 9 - Čakovice",10,50.0875,14.4213889,10.82441116385582
90,944420428,1733.0,250.0,2326.0,169.0,108.0,108.0,2709.0,249.0,95.0,2767.0,358.0,Včera,Cihlová,Novostavba,Klidná část obce,261.0,,B,Patrový,3 včetně 1 podzemního,1,,335.0,1,Řadový,31890000,50.029022,14.371988,"Lipová alej, Praha 5 - Hlubočepy",10,50.0875,14.4213889,7.397235514048752
95,1700275276,613.0,223.0,443.0,213.0,373.0,363.0,223.0,1163.0,324.0,5080.0,300.0,Včera,Cihlová,Novostavba,,125.0,,B,Patrový,2,,,236.0,,,19950000,50.004955,14.411564,"Nesvadbova, Praha 4 - Modřany",10,50.0875,14.4213889,9.205357557804344
96,3313047116,1750.0,1702.0,1961.0,291.0,158.0,186.0,4168.0,1249.0,186.0,0.0,0.0,Včera,Smíšená,Novostavba,,151.0,,C,Patrový,2,,,500.0,,,19500000,50.01289,14.604807,Praha 10 - Benice,10,50.0875,14.4213889,15.502726564889842
97,2023409484,2057.0,922.0,2127.0,357.0,939.0,615.0,2201.0,1417.0,1287.0,930.0,1938.0,Včera,Cihlová,Projekt,,107.0,,A,Patrový,2,,,906.0,,,17350000,50.127144,14.529361,"Hůlkova, Praha 9 - Kbely",10,50.0875,14.4213889,8.872589544521206
98,3744818252,2027.0,871.0,2015.0,62.0,898.0,704.0,2097.0,1465.0,1230.0,1066.0,1711.0,Včera,Cihlová,Projekt,,152.0,,B,Patrový,2,1,,232.0,,,16495000,50.127144,14.529361,"Hůlkova, Praha 9 - Kbely",10,50.0875,14.4213889,8.872589544521206
99,4189500492,685.0,684.0,1582.0,321.0,631.0,683.0,3756.0,765.0,920.0,1748.0,3717.0,Včera,Cihlová,Velmi dobrý,,137.0,,C,Patrový,2,1,,455.0,,,16499000,50.030586,14.299001,"Ke Zbuzanům, Praha 5 - Řeporyje",10,50.0875,14.4213889,10.788131311312398
101,698496076,1853.0,653.0,0.0,44.0,725.0,786.0,2214.0,917.0,663.0,0.0,0.0,Včera,Cihlová,Novostavba,,100.0,,B,Patrový,2,,,243.0,,,13370000,50.071953,14.652803,"Staroújezdská, Praha 9 - Újezd nad Lesy",10,50.0875,14.4213889,16.60305228213086
102,195179596,1853.0,653.0,0.0,44.0,725.0,786.0,2214.0,917.0,663.0,0.0,0.0,Včera,Cihlová,Novostavba,,100.0,,B,Patrový,2,,,240.0,,,12920000,50.071953,14.652803,"Staroújezdská, Praha 9 - Újezd nad Lesy",10,50.0875,14.4213889,16.60305228213086
103,3585225804,1813.0,589.0,0.0,64.0,705.0,772.0,2172.0,846.0,674.0,0.0,0.0,Včera,Cihlová,Novostavba,,144.0,,B,Patrový,2,1,,465.0,,,17500000,50.072075,14.653809,"Staroújezdská, Praha 9 - Újezd nad Lesy",10,50.0875,14.4213889,16.673025969808872
106,2779366732,369.0,584.0,718.0,131.0,421.0,488.0,1149.0,919.0,114.0,803.0,815.0,Včera,Cihlová,Po rekonstrukci,Klidná část obce,180.0,,G,Patrový,2 včetně 1 podzemního,1,,1136.0,30,V bloku,18500000,50.098942,14.538219,"Oborská, Praha 9 - Kyje",10,50.0875,14.4213889,8.430749747603517
107,1389659468,1324.0,267.0,1184.0,193.0,332.0,546.0,598.0,2632.0,145.0,1041.0,454.0,Včera,Cihlová,Dobrý,Klidná část obce,130.0,Neplatíte provizi RK.,G,Patrový,2 včetně 1 podzemního,1,,214.0,43,Samostatný,15500000,50.046516,14.479286,"Severní IV, Praha 4 - Záběhlice",10,50.0875,14.4213889,6.151827792596226
108,3202872652,3332.0,775.0,1652.0,267.0,967.0,608.0,1848.0,1302.0,302.0,1699.0,1089.0,Včera,Cihlová,Dobrý,Klidná část obce,230.0,,,Patrový,3,1,,574.0,1,Samostatný,18750000,50.141819,14.473962,"Říjnová, Praha 8 - Ďáblice",10,50.0875,14.4213889,7.10873760957033
110,3308189260,3213.0,719.0,1989.0,60.0,714.0,411.0,2121.0,1667.0,305.0,2071.0,1424.0,Včera,Smíšená,Novostavba,,188.0,včetně DPH,B,Patrový,,,,305.0,,Řadový,18966713,50.14711,14.47401,"U spojů, Praha 8 - Ďáblice",10,50.0875,14.4213889,7.616524949606711
111,568640844,2209.0,330.0,1106.0,129.0,332.0,624.0,2094.0,2146.0,210.0,2355.0,1770.0,Včera,Cihlová,Velmi dobrý,Klidná část obce,132.0,"včetně provize, včetně právního servisu",D,Patrový,,,,287.0,,Samostatný,11990000,50.147667,14.488449,"Chřibská, Praha 8 - Ďáblice",10,50.0875,14.4213889,8.223206574820695
114,1080677708,1788.0,316.0,5719.0,420.0,624.0,606.0,2147.0,984.0,311.0,0.0,0.0,Včera,Cihlová,Velmi dobrý,Klidná část obce,141.0,Cena je včetně provize a kompletního právního servisu,G,Patrový,2,1,,410.0,,Rohový,13490000,50.07486,14.647324,"Dražická, Praha 9 - Újezd nad Lesy",10,50.0875,14.4213889,16.182509854847737
115,4012094796,2944.0,1834.0,3888.0,367.0,337.0,2023.0,0.0,2564.0,385.0,0.0,0.0,Včera,Cihlová,Novostavba,Klidná část obce,170.0,,,Patrový,2,,,493.0,,,15999000,50.040073,14.632935,"Nad mlýnem, Praha - Královice",10,50.0875,14.4213889,15.994528743917597
116,1082955084,4813.0,565.0,924.0,551.0,759.0,317.0,2069.0,563.0,575.0,4129.0,1928.0,Včera,Cihlová,Velmi dobrý,Klidná část obce,177.0,uvedená cena je vč. garážového stání a provize RK,B,Patrový,2,1,,430.0,,Řadový,19250000,49.99522,14.475376,"Ke kašně, Praha 4 - Písnice",10,50.0875,14.4213889,10.961457259139289
118,712029516,1025.0,807.0,1953.0,61.0,565.0,438.0,1032.0,2027.0,493.0,1029.0,734.0,Včera,Smíšená,Po rekonstrukci,Centrum obce,364.0,,C,Patrový,4,1,,266.0,1,Řadový,24950000,50.064026,14.377879,"Štochlova, Praha 5 - Košíře",10,50.0875,14.4213889,4.056332314653013
119,1650181452,758.0,291.0,433.0,148.0,384.0,781.0,2415.0,881.0,307.0,938.0,2884.0,Včera,Cihlová,Novostavba,,178.0,,A,Patrový,2,1,,296.0,,,19850000,50.037739,14.316081,"Jáchymovská, Praha - Řeporyje",10,50.0875,14.4213889,9.333911871198389
120,960562252,3877.0,182.0,2369.0,109.0,525.0,473.0,1437.0,400.0,49.0,2287.0,1357.0,Včera,Smíšená,Velmi dobrý,,226.0,,G,Patrový,3,1,,542.0,1,Řadový,19500000,50.139767,14.451536,"Ústecká, Praha 8 - Dolní Chabry",10,50.0875,14.4213889,6.19663957049527
121,3838231884,1752.0,441.0,1432.0,59.0,645.0,560.0,4398.0,561.0,582.0,4167.0,4741.0,Včera,Montovaná,Velmi dobrý,Klidná část obce,188.0,,,Patrový,3,1,,198.0,,Řadový,11463000,50.148052,14.574371,"Chvojenecká, Praha 9 - Vinoř",10,50.0875,14.4213889,12.818295764245248
122,3123078220,4752.0,147.0,1240.0,122.0,285.0,98.0,136.0,128.0,272.0,1513.0,4142.0,Včera,Cihlová,Velmi dobrý,,150.0,,,Přízemní,,1,,980.0,,,18000000,50.01432,14.513108,"K Hrnčířům, Praha 4 - Šeberov",10,50.0875,14.4213889,10.445073789095693
123,1598833740,1933.0,353.0,692.0,209.0,295.0,221.0,1396.0,864.0,35.0,733.0,1452.0,Včera,Cihlová,Po rekonstrukci,,231.0,,G,Patrový,,1,,626.0,,Samostatný,18990000,50.051865,14.324286,"U Cikánky, Praha 5 - Stodůlky",10,50.0875,14.4213889,7.9831342972558685
127,1620399180,597.0,1322.0,1956.0,145.0,813.0,844.0,1544.0,2434.0,519.0,619.0,784.0,Včera,Cihlová,Ve výstavbě,Klidná část obce,140.0,,B,Patrový,2,,,531.0,,Samostatný,15900000,50.055294,14.37969,Praha 5,10,50.0875,14.4213889,4.65629671268995
