,hash_id,Vlak,Vecerka,Obchod,Bus,Skola,Skolka,Lekar,Hospoda,Restaurace,Metro,Tram,date_update,building_type,building_condition,building_location,area_net,price_note,energy_efficient_rating,building_floor_type,building_floor,garage,swimming_pool,area_landplot,cellar,house_location,price,lat,lon,locality,region,lat_cen,lon_cen,city_dist
4273,2417861964,2472.0,721.0,1334.0,228.0,615.0,384.0,3292.0,2922.0,192.0,0.0,0.0,16.01.2024,Panelová,Velmi dobrý,Klidná část obce,146.0,Cena včetně provize RK a právního servisu.,G,Patrový,2,2,1.0,715.0,,Samostatný,12580000,50.445839,14.922051,"Jizerská, Kosmonosy",11,50.0875,14.4213889,53.422702766008925
4274,3366151244,2569.0,349.0,0.0,536.0,532.0,532.0,0.0,1685.0,144.0,0.0,0.0,06.10.2023,Cihlová,Novostavba,,277.0,,B,Patrový,3,2,,347.0,,,22500000,50.193733,14.327396,"Jezdecká, Tursko",11,50.0875,14.4213889,13.579614879844101
4275,4235420748,2569.0,349.0,0.0,536.0,532.0,532.0,0.0,1685.0,144.0,0.0,0.0,06.10.2023,Cihlová,Novostavba,,214.0,,B,Patrový,3,1,,388.0,,,17500000,50.193733,14.327396,"Jezdecká, Tursko",11,50.0875,14.4213889,13.579614879844101
4276,2467145036,2234.0,237.0,3931.0,164.0,509.0,633.0,3312.0,288.0,404.0,0.0,0.0,18.12.2023,Cihlová,Velmi dobrý,Klidná část obce,127.0,"včetně odměny, právních služeb a vyřízení hypotečního úvěru",G,Přízemní,2,,1.0,218.0,,Řadový,7500000,50.17746,14.09578,"Na Horce, Vinařice",11,50.0875,14.4213889,25.272518565111774
4277,532723020,2606.0,226.0,4539.0,115.0,623.0,148.0,0.0,1077.0,226.0,0.0,0.0,16.01.2024,Cihlová,Velmi dobrý,Klidná část obce,181.0,včetně províze a právního servísu,D,Patrový,4,31,,191.0,,Řadový,10899000,50.158482,14.320123,"Hakenova, Velké Přílepy",11,50.0875,14.4213889,10.696581900655463
4281,3469305676,1971.0,543.0,3433.0,209.0,547.0,1740.0,0.0,2553.0,1749.0,0.0,0.0,29.12.2023,Cihlová,Před rekonstrukcí,Centrum obce,120.0,,G,Patrový,2,,,960.0,,Samostatný,6500000,49.913445,14.30518,"Ke Kříži, Černolice",11,50.0875,14.4213889,21.061019855341637
4284,3291420236,0.0,2273.0,0.0,59.0,2542.0,2542.0,0.0,2596.0,2154.0,0.0,0.0,05.01.2024,Cihlová,Dobrý,Okraj obce,132.0,"Včetně realitních služeb, právních služeb a advokátní úschovy.",G,Patrový,2,1,,556.0,,Řadový,4500000,50.192455,15.23408,"Podmoky, okres Nymburk",11,50.0875,14.4213889,59.08135957597696
4286,1461626188,721.0,135.0,0.0,9.0,215.0,523.0,0.0,3685.0,90.0,0.0,0.0,29.01.2024,Cihlová,Dobrý,Centrum obce,80.0,včetně provize,,Přízemní,,,,154.0,,,3000000,50.205517,15.29399,"Pražská, Městec Králové",11,50.0875,14.4213889,63.547966911739294
4287,4083066188,2876.0,1396.0,0.0,7.0,4041.0,2291.0,0.0,2.0,2225.0,0.0,0.0,27.12.2023,Cihlová,Před rekonstrukcí,,65.0,cena včetně 1% provize,G,Přízemní,,1,,893.0,1,Samostatný,3026179,49.99231,15.095238,"Polní Voděrady, okres Kolín",11,50.0875,14.4213889,49.27329357430258
4288,1147053388,0.0,1938.0,0.0,244.0,4439.0,3489.0,0.0,1928.0,4182.0,0.0,0.0,22.01.2024,Smíšená,Před rekonstrukcí,Okraj obce,120.0,,G,Přízemní,1,,,1105.0,,Samostatný,2610000,50.384838,14.71846,"Velké Všelisy, okres Mladá Boleslav",11,50.0875,14.4213889,39.23695687436048
